Регион,Население,Медианная зп (руб),92,95,дт,ДТП на 100000 чел,ДТП с погибшими (на 100000 чел),ДТП с ранеными на 100000 чел,Уровень безработицы %,Преступность(кол-во на 10000 чел),Продолжительность жизни,Прожиточный минимум
Алтайский край,2387725,14361.4,30.49,32.81,34.24,168.70,14.60,212.10,7.20,184.45,70.01,7423.00
Амурская область,810572,19790.9,34.79,36.95,37.16,185.90,21.00,234.90,5.60,212.68,67,9456.00
Архангельская область,1187554,21499.4,32.16,35.47,35.39,167.60,18.60,218.30,7.30,165.99,70.2,10756.00
Астраханская область,1018902,16630.8,32.09,35.08,32.74,181.10,15.30,239.40,7.50,155.42,70.76,6916.00
Белгородская область,1546022,18962.4,32.34,34.48,33.03,84.20,17.50,94.60,4.00,92.58,72.25,6695.00
Брянская область,1237769,16093.4,31.94,34.58,31.6,117.60,22.50,141.30,5.00,137.61,69.42,7335.00
Владимирская область,1409467,15723.9,32.74,35.16,33.73,219.20,31.60,296.80,4.30,133.07,69.25,7770.00
Волгоградская область,2563261,15547.7,32.18,35.05,33.45,104.00,17.20,128.80,6.60,141.75,71.62,7487.00
Вологодская область,1192190,17431.9,33.21,35.55,34.79,144.70,15.70,183.30,5.60,204.97,69.74,8341.00
Воронежская область,2330053,18723.3,32.42,35.04,32.26,152.60,27.20,183.30,4.50,144.90,70.82,6828.00
Еврейская автономная область,169372,17389.4,35.37,37.36,37.33,173.00,22.40,222.60,8.70,203.37,65.2,10185.00
Забайкальский край,1088898,15445.2,37.93,39.64,37.91,136.90,27.20,171.70,10.00,294.86,67.38,8324.00
Ивановская область,1040020,15910.5,31.41,33.76,33.52,187.30,14.70,244.10,4.30,142.59,69.88,7908.00
Иркутская область,2416629,15403,34.78,37.59,37.24,142.70,20.50,175.20,8.80,219.83,66.87,8321.00
Кабардино-Балкарская Республика,859552,12980.3,32.76,36.27,32.07,90.20,21.60,114.00,9.50,91.81,74.16,7071.00
Калининградская область,966036,17639.9,33.29,35.68,33.9,128.40,17.00,145.30,5.40,161.69,70.28,7802.00
Калужская область,1007515,18924.1,31.96,34.43,32.6,239.90,37.50,319.90,4.20,167.32,69.93,7529.00
Камчатский край,318566,30454.5,40.42,42.35,44.41,174.20,18.80,223.50,6.10,155.63,68.06,15428.00
Карачаево-Черкесская Республика,469449,12915.4,32.41,36.17,32.03,125.00,30.00,177.00,13.00,72.81,73.91,7120.00
Кемеровская область,2729533,15652.4,29.52,32.5,33.91,129.20,18.30,172.80,6.20,226.73,67.8,7455.00
Кировская область,1307639,15702,31.92,34.52,34.25,149.60,18.00,190.70,5.10,168.76,70.59,7420.00
Костромская область,655389,15437.1,31.93,33.87,32.63,141.40,14.50,170.10,4.30,121.89,70.05,7541.00
Краснодарский край,5428801,20680.3,33.15,36.23,32.3,125.80,25.50,148.60,5.70,127.60,72.28,7701.00
Красноярский край,2855791,18402.5,32.62,35.54,36.34,167.40,21.00,208.50,5.00,197.56,69.23,8987.00
Курганская область,873481,14347,31.51,33.79,34.69,148.50,26.70,180.10,7.00,232.86,68.75,7383.00
Курская область,1118147,16998.2,31.79,34.87,32.94,182.20,23.50,232.10,3.90,118.41,70.11,6632.00
Ленинградская область,1769732,16832.4,32.19,35.04,33.6,230.20,39.80,314.30,4.50,110.54,70.28,6777.00
Липецкая область,1158866,18761.3,32.3,34.86,33.49,170.60,24.40,208.80,3.70,106.34,70.6,6854.00
Магаданская область,149191,34533.7,45.58,47.13,43.98,198.40,19.40,266.10,3.10,204.91,67.19,14865.00
Москва,12152926,38551.8,32.81,35.7,34.25,93.10,7.30,105.10,1.50,151.03,76.7,12180.00
Московская область,7182344,26169.9,32.36,35.48,33.48,125.90,23.50,155.50,2.70,127.65,70.94,8977.00
