Регион,Население,Медианная зп (руб),92,95,дт,ДТП на 100000 чел,ДТП с погибшими (на 100000 чел),ДТП с ранеными на 100000 чел,Уровень безработицы. %,Преступность(кол-во на 10000 чел),Продолжительность жизни,Прожиточный минимум,Качество жизни,Индекс привлекательности рабочей силы,Социальная ориентированность бюджетов
Алтайский край,2380793,16484.3,32.04,34.84,36.19,146.70,13.10,186.90,8.00,203.71,70.44,8798.00,39.00,44.69,41.952
Амурская область,807781,22087.9,37.33,39.44,38.71,173.10,18.80,220.00,5.80,240.47,67.27,10740.00,38.51,32.01,39.507
Архангельская область,1178701,24266.7,34.21,37.59,36.91,147.50,12.00,189.00,6.80,195.72,70.7,12963.00,32.95,37.22,42.384
Астраханская область,1019956,18337.5,34.3,37.25,34.15,152.10,13.40,199.40,7.50,144.66,71.36,8452.00,43.31,52.64,35.91
Белгородская область,1549037,21710.1,33.75,36.71,35.15,80.20,13.40,96.00,4.10,102.02,72.61,8134.00,35.46,50.72,54.358
Брянская область,1229340,18514.8,32.69,35.65,33.4,114.00,19.80,140.40,4.60,140.50,70.36,8843.00,62.37,44.77,35.612
Владимирская область,1401390,18417.1,34.41,37.03,35.25,196.10,27.80,257.10,5.60,151.88,69.82,9344.00,40.94,44.66,44.298
Волгоградская область,2551667,17864,34.26,37.26,35.02,98.60,13.50,118.70,7.20,163.04,71.98,8889.00,44.80,57.74,46.801
Вологодская область,1189347,20101.5,35.55,37.97,36.33,139.60,11.60,183.00,6.80,245.42,70.4,10010.00,45.97,40.24,45.789
Воронежская область,2332312,22056.5,33.89,36.49,34.63,139.30,23.30,173.80,4.50,168.58,71.67,8174.00,37.71,52.6,53.934
Еврейская автономная область,167243,19269.8,37.74,39.76,38.64,148.30,25.10,191.30,7.90,215.24,65.04,12476.00,57.04,22.27,13.755
Забайкальский край,1085231,17521,38.96,40.78,39.01,132.40,19.60,169.00,10.40,306.89,67.34,10230.00,26.18,38.44,29.393
Ивановская область,1033374,18057.7,32.75,34.97,33.87,165.10,12.30,210.70,5.60,146.04,70.62,9462.00,25.08,38.82,29.725
Иркутская область,2413856,17279.3,35.97,38.59,37.86,138.60,19.80,167.80,8.20,221.76,67.37,9935.00,44.74,47.88,50.719
Кабардино-Балкарская Республика,861482,15101.1,35.31,38.65,33.59,83.10,19.50,96.10,10.10,100.46,74.61,8784.00,35.28,52.73,22.062
Калининградская область,972691,20304.6,35.37,37.67,35.71,124.90,17.30,136.60,5.70,170.31,70.58,9664.00,52.65,50.28,39.856
Калужская область,1010129,21636,32.33,34.74,33.33,203.70,26.50,268.80,4.30,180.29,70.73,9223.00,51.00,38.52,44.141
Камчатский край,316692,34129.2,43.98,45.68,45.59,175.50,17.70,213.70,4.50,180.48,68.56,18020.00,45.96,29.9,36.521
