Регион,Население,Медианная зп (руб),92,95,ДТП на 100000 чел,ДТП с погибшими (на 100000 чел),Уровень безработицы. %,Преступность(кол-во на 10000 чел),Продолжительность жизни,Прожиточный минимум,Качество жизни,Индекс привлекательности рабочей силы,Социальная ориентированность бюджетов
Алтайский край,2296773,21700.0,40.93,43.16,207.0,111.0,5.5,16.992539999999998,71.61,10050.0,20.51990994,46.34,41.37
Амурская область,781850,37500.0,45.28,47.95,295.0,145.0,5.2,23.56206,68.66,12235.0,11.90102898,39.96,44.35
Архангельская область,1128099,36400.0,43.6,47.24,222.0,114.0,6.1,16.90809,72.3,14107.0,20.53067501,34.61,40.57
Астраханская область,997685,24800.0,44.31,48.46,222.0,108.0,7.3,14.09162,73.86,10437.0,22.60171719,42.77,46.82
Белгородская область,1543087,26300.0,44.18,47.44,144.0,73.0,3.9,9.293708,74.21,9236.0,36.29255845,64.0,54.69
Брянская область,1183228,22200.0,43.17,46.6,216.0,73.0,3.4,12.82762,72.31,10615.0,25.70502487,43.64,40.29
Владимирская область,1343194,25800.0,43.53,46.92,315.0,161.0,4.3,12.93261,71.87,10485.0,25.06566891,47.34,45.56
Волгоградская область,2476100,25300.0,43.99,48.36,145.0,104.0,5.6,15.624170000000001,74.07,9566.0,20.54650159,45.97,38.89
Вологодская область,1151751,30400.0,44.23,46.86,201.0,112.0,4.5,15.03276,71.82,11091.0,23.52480647,40.22,51.46
Воронежская область,2307100,26100.0,44.14,48.31,216.0,129.0,4.1,12.79962,73.63,9390.0,24.89452387,61.21,46.09
Еврейская автономная область,156492,32700.0,45.91,47.98,298.0,130.0,6.3,23.59865,68.08,15344.38,11.9669649,27.17,46.5
Забайкальский край,1054071,31100.0,46.68,49.61,232.0,120.0,9.2,21.538400000000003,68.88,12473.32,15.23444139,25.91,45.78
Ивановская область,987694,21400.0,42.55,44.59,215.0,111.0,3.5,13.92334,71.84,10345.0,23.56758691,44.3,35.53
Иркутская область,2375640,35600.0,43.17,45.69,265.0,119.0,7.0,17.75269,69.55,11567.0,17.38612412,36.17,62.48
Кабардино-Балкарская Республика,870197,19000.0,43.82,47.9,149.0,76.0,11.2,8.530252,76.46,12431.0,33.58537244,33.69,37.95
Калининградская область,1019601,29200.0,45.91,48.98,154.0,90.0,4.1,13.31207,73.56,11392.0,23.45258194,57.0,45.72
Калужская область,1000604,31000.0,41.26,44.98,238.0,124.0,3.9,17.19861,72.35,11117.0,18.938638,52.83,51.18
Камчатский край,311985,56700.0,52.76,54.62,180.0,157.0,4.0,18.85988,70.57,20652.0,18.01611134,46.41,27.9
Карачаево-Черкесская Республика,465592,19100.0,44.15,48.11,284.0,119.0,11.4,10.0238,76.21,9936.0,29.90698869,25.03,42.38
Кемеровская область,2634376,31100.0,40.9,44.32,191.0,102.0,5.0,19.63653,69.78,10339.0,17.38265414,41.83,52.54
Кировская область,1251182,23300.0,43.73,47.09,280.0,130.0,4.4,15.122499999999999,72.96,10330.0,23.59874762,40.14,39.11
Костромская область,628972,24100.0,42.87,45.54,225.0,109.0,3.9,14.49031,72.35,10624.0,24.50699396,41.32,43.16
Краснодарский край,5689538,27900.0,44.28,48.47,229.0,115.0,4.8,12.921789999999998,73.91,10989.0,24.20956377,62.89,45.64
Красноярский край,2857567,35900.0,42.58,46.31,236.0,112.0,4.2,16.8507,71.16,12689.0,18.83050635,46.15,51.77
Курганская область,819299,22700.0,40.96,44.45,208.0,120.0,8.7,19.10902,71.14,10222.0,17.83760423,28.78,44.11
Курская область,1098361,24100.0,43.05,46.82,268.0,131.0,4.0,12.65795,72.27,10018.0,26.40798711,54.4,48.34
Ленинградская область,1894038,38100.0,43.59,46.95,283.0,155.0,3.6,14.480700000000002,73.64,11028.0,21.79033835,56.61,64.78
