Регион;Население;Медианная зп (руб);92;95;98;дт;ДТП на 100000 чел;ДТП с погибшими (на 100000 чел);ДТП с ранеными на 100000 чел;Уровень безработицы, %;Преступность(кол-во на 10000 чел);Продолжительность жизни;Прожиточный минимум;
Алтайский край;2324983;18899,2;41,3;43,2;48,28;45,54;120,30;10,80;154,20;5,00;159,39;71,61;9964,00;
Амурская область;791619;25435,7;42,6;45,1;50,91;48,21;163,30;17,90;214,30;5,40;246,43;68,66;12155,00;
Архангельская область;1140327;27143,8;41,75;45,26;50,63;45,99;130,20;11,30;170,10;6,10;167,93;72,3;12707,00;
Астраханская область;1009924;20134,4;43,18;46,83;49,91;45,8;126,00;8,40;168,90;7,40;129,81;73,86;10345,00;
Белгородская область;1548284;25079,8;42,25;45,55;50,67;45,58;85,50;10,00;107,90;3,80;91,75;74,21;9126,00;
Брянская область;1196339;22396,6;41,42;44,6;50,02;45,28;95,80;11,50;116,90;4,20;120,11;72,31;10575,00;
Владимирская область;1362110;20962,9;42,26;45,39;50,18;46,39;169,60;19,20;224,80;3,60;123,24;71,87;10340,00;
Волгоградская область;2499272;19786,3;42,98;46,65;51,09;45,24;105,30;11,40;140,70;4,90;164,54;74,07;9686,00;
Вологодская область;1164079;22972,8;43,31;45,78;49,57;48,46;130,80;11,10;169,50;3,90;152,27;71,82;11038,00;
Воронежская область;2326013;24566;43,15;46,51;50,65;45,75;133,90;17,80;169,70;3,00;132,45;73,62;9232,00;
Еврейская автономная область;159109;21995,3;43,25;45,21;45,7;48,2;136,40;17,60;174,70;5,50;223,43;68,08;14213,00;
Забайкальский край;1062742;20647,2;43,68;46,17;49,49;50,19;121,60;22,80;152,90;9,10;221,81;68,96;12233,00;
Ивановская область;1000657;20764,9;41,91;44;48,39;44,78;113,50;9,00;147,70;3,90;138,85;71,84;10253,00;
Иркутская область;2394478;21083,7;41,91;43,98;49,53;47,97;137,30;15,00;174,10;5,90;191,81;69,55;11434,00;
Кабардино-Балкарская Республика;867284;17782,7;42,93;46,31;51,05;44,01;74,60;14,20;90,20;9,70;86,37;76,46;11576,00;
Калининградская область;1007349;23376,4;44,41;47,41;53,28;47,81;110,20;10,70;134,00;4,20;148,02;73,56;11413,00;
Калужская область;1005978;25209,4;40,41;43,66;49,85;43,29;144,10;16,20;184,60;3,70;155,02;72,35;10859,00;
Камчатский край;313868;41713,2;48,84;50,86;53,16;54,4;141,90;17,50;186,60;3,60;184,09;70,57;20499,00;
Карачаево-Черкесская Республика;465546;15506,6;42,54;46,1;54,15;44,3;121,80;17,80;178,90;9,60;97,8;76,21;9897,00;
Кемеровская область;2666055;20299,5;41,03;43,79;49,19;45,59;105,10;10,50;139,80;5,30;201,68;69,78;10066,00;
Кировская область;1267255;19521;42,67;45,86;52,24;46,47;134,50;12,50;166,80;4,80;150,8;72,96;10223,00;
Костромская область;635325;20954;42,16;44,21;47,56;45,22;119,30;10,90;151,70;4,30;129,96;72,35;10390,00;
Краснодарский край;5661848;27148,7;43,64;47,33;52,2;44,51;129,90;16,60;167,90;4,70;126,44;73,91;10854,00;
Красноярский край;2870140;24527,1;42,26;45,2;50,03;48,83;124,30;13,20;152,40;4,20;162,12;71,16;12477,00;
Курганская область;830933;17345,5;40,73;43,56;48,23;44,77;132,60;19,40;168,70;7,20;205,8;71,14;10019,00;
Курская область;1105524;23265;41,44;44,79;50,15;45,2;149,50;17,40;193,40;3,70;119,43;72,27;9818,00;
Ленинградская область;1861869;26119,8;42,48;45,65;53,09;46,77;155,60;20,70;209,20;4,00;130,58;73,64;10801,00;
Липецкая область;1141703;25075,3;42,25;45,93;50,94;45,26;142,10;15,50;179,20;3,60;106,69;73,34;9410,00;
Магаданская область;140691;50658,8;53,32;53,89;… ;59,57;196,10;20,60;260,10;4,50;205,06;69,66;19680,00;
Москва;12646679;55004,2;42,35;46,54;52,35;45,7;73,50;3,50;84,70;1,30;112,35;78,36;17202,00;
Московская область;7645255;36307,8;41,94;45,84;51,91;45,64;76,50;11,00;90,40;2,80;100,78;73,86;12694,00;
Мурманская область;744729;36481,8;43,45;46,36;49,4;49,37;116,10;7,30;153,30;4,60;162,7;71,75;16800,00;
Ненецкий автономный округ;43970;58224,4;45,55;49,38;… ;52,71;70,50;4,50;84,20;7,40;171,48;73,19;19993,00;
Нижегородская область;3208785;26031,6;42,17;45,49;50,01;45,2;175,00;10,80;225,60;4,00;134,1;72,32;10082,00;
Новгородская область;598401;21446,6;42,36;45,42;52,75;46,77;178,20;13,70;225,50;3,40;182,3;70,52;10949,00;
Новосибирская область;2795777;24048,4;41,28;44,44;49,58;46,87;70,90;9,80;91,40;6,00;179,58;72,25;11361,00;
Омская область;1935430;21117,9;41,23;44,03;49,79;46,03;150,50;8,90;190,90;5,70;128,49;72,32;9900,00;
Оренбургская область;1959921;19334,9;41,83;45,81;49,83;46,28;106,90;13,20;140,10;4,40;136,7;72,04;9291,00;
Орловская область;736483;20913,4;41,52;44,62;51;45,11;104,90;12,80;132,90;4,70;121,65;72,56;10123,00;
Пензенская область;1311833;18769,1;42,05;45,23;49,56;44,75;140,20;15,60;192,50;4,50;98,51;73,61;9337,00;
Пермский край;2605030;23313,1;42,52;45,57;52,11;46,5;115,00;10,90;152,80;4,80;164,88;71,32;10463,00;
Приморский край;1899293;28690,4;42,84;43,81;47,22;47,54;159,70;15,60;198,40;5,10;163,67;70,54;13142,00;
Псковская область;627882;20790,9;41,99;45,34;51,96;46,59;143,30;15,30;191,90;5,30;130,69;70,65;11055,00;
Республика Адыгея;458915;21995,4;44,23;48,02;53,8;44,65;110,70;19,40;137,70;8,20;102,61;73,85;9315,00;
Республика Алтай;219524;16158,8;41,21;43,55;48,41;45,8;148,50;19,10;208,70;10,00;194,42;70,29;10122,00;
Республика Башкортостан;4044578;22996,7;41,74;44,7;49,78;45,39;106,00;11,60;134,70;4,20;136,84;72,64;9517,00;
Республика Бурятия;984604;20083,5;41,42;43,7;47,91;47,16;113,40;13,40;151,80;8,80;224,77;70,76;11377,00;
Республика Дагестан;3098492;21054,1;42,84;44,96;48,71;43,25;51,50;11,30;72,50;11,70;43,98;79,1;9780,00;
Республика Ингушетия;502226;13838,2;40,15;42,4;47,95;38,47;36,30;11,60;60,60;26,20;35,84;83,41;10173,00;
Республика Калмыкия;271891;15359,9;42,77;46,3;51,29;45,42;164,40;29,40;246,10;9,40;102,87;74,84;9888,00;
Республика Карелия;616059;25476,1;42,09;45,3;51,6;48,02;116,50;13,10;151,10;7,00;200,21;71,46;13648,00;
Республика Коми;825353;27767,9;43,23;45,63;52,55;48,54;118,90;8,00;166,30;6,00;205,79;71,3;13707,00;
Республика Крым;1912220;18554,2;45,38;49,7;55,99;49,92;99,50;14,60;130,10;5,00;109,71;72,71;10456,00;
Республика Марий Эл;679899;16719,9;41,49;44,4;50,45;45,21;129,30;13,40;177,60;4,40;114,05;72,9;9583,00;
Республика Мордовия;792850;16192,1;41,46;45,36;49,24;46,08;125,20;17,40;172,30;3,80;101,66;73,95;9104,00;
Республика Саха (Якутия);969502;34313,8;54,71;54,89;56,23;59,82;82,60;8,70;108,50;6,20;127,77;73;17181,00;
Республика Северная Осетия — Алания;698044;19614,9;42,7;45,44;52,49;44,27;122,00;12,50;177,60;12,60;136,14;75,75;9485,00;
Республика Татарстан;3900758;27288,7;41,65;44,4;50,18;44,4;116,00;9,50;144,10;3,20;127,77;75,03;9213,00;
Республика Тыва;325902;13643,4;43,15;45,15;50,62;51,16;151,60;31,90;232,30;10,70;264,68;67,57;10556,00;
Республика Хакасия;535215;18758,6;41,33;43,21;46,35;46,79;98,50;10,10;122,80;5,90;198,8;71,05;10910,00;
Ростовская область;4200071;23419,2;43,36;46,9;51,63;44,96;73,00;10,50;92,00;4,80;145,03;73,7;10337,00;
Рязанская область;1111492;21490,9;41,71;44,63;51,38;45,05;164,50;21,50;225,50;3,60;92,22;73,2;10018,00;
Самарская область;3181285;23089,4;41,34;44,65;51,21;45,47;117,90;9,30;154,60;3,90;134,03;72,77;10492,00;
Санкт-Петербург;5390977;35581,2;42,74;46,22;53,19;46,66;123,10;4,20;146,30;1,40;90,2;76,31;11448,00;
Саратовская область;2431355;18187,1;41,96;45,25;50,9;44,56;129,90;12,10;175,60;4,20;120,57;73,07;9223,00;
Сахалинская область;488947;43604,2;46,07;48,43;51,89;53,27;128,20;16,40;168,30;5,10;193,78;70,28;14781,00;
Свердловская область;4313190;29509,9;41,72;44,58;50,76;45,69;71,20;9,30;91,60;4,00;133,91;71,81;10735,00;
Севастополь;446174;24340;45,41;49,13;55,99;49,73;136,80;4,00;171,70;3,50;94,99;73,52;11088,00;
Смоленская область;938625;21478,4;42,03;45,44;49,12;45,25;110,10;13,50;135,70;4,90;148,71;71,89;10833,00;
Ставропольский край;2799408;19295,3;44;47,41;52,61;45,25;106,30;14,10;143,50;4,80;124,11;74,66;9235,00;
Тамбовская область;1011357;22403,5;42,29;45,21;49,97;44,18;131,40;15,30;172,70;3,90;125,16;73,56;9682,00;
Тверская область;1265007;22437,7;42,56;45,62;50,1;46,42;157,90;14,10;199,00;3,50;163,89;71,24;10725,00;
Томская область;1078355;22824,9;40,45;42,85;47,89;47,39;68,70;9,80;82,70;5,30;163,77;72,85;11465,00;
Тульская область;1472472;23394,4;42,37;45,66;51,67;45,53;147,50;18,90;195,50;3,60;88,6;72,21;10531,00;
Тюменская область;3740252;23735,8;41,59;45,2;51,01;47,31;188,50;11,70;252,10;3,90;71,25;72,75;11216,00;
