Регион;Население;92;95;98;дт;Уровень безработицы, %;Продолжительность жизни;Прожиточный минимум;
Алтайский край;2296773;40,93;43,16;50,22;47,81;5,5;71,61;10050,00;
Амурская область;781850;45,28;47,95;53,73;51,74;5,2;68,66;12235,00;
Архангельская область;1128099;43,60;47,24;53,28;50,23;6,1;72,3;14107,00;
Астраханская область;997685;44,31;48,46;52,57;47,67;7,3;73,86;10437,00;
Белгородская область;1543087;44,18;47,44;52,87;47,71;3,9;74,21;9236,00;
Брянская область;1183228;43,17;46,60;53,98;46,48;3,4;72,31;10615,00;
Владимирская область;1343194;43,53;46,92;52,11;47,81;4,3;71,87;10485,00;
Волгоградская область;2476100;43,99;48,36;52,47;47,87;5,6;74,07;9566,00;
Вологодская область;1151751;44,23;46,86;50,72;50,52;4,5;71,82;11091,00;
Воронежская область;2307100;44,14;48,31;53,62;46,58;4,1;73,63;9390,00;
Еврейская автономная область;156492;45,91;47,98;49,19;52,44;6,3;68,08;15344,38;
Забайкальский край;1054071;46,68;49,61;52,93;54,01;9,2;68,88;12473,32;
Ивановская область;987694;42,55;44,59;50,14;46,04;3,5;71,84;10345,00;
Иркутская область;2375640;43,17;45,69;52,35;51,32;7;69,55;11567,00;
Кабардино-Балкарская Республика;870197;43,82;47,90;52,67;44,41;11,2;76,46;12431,00;
Калининградская область;1019601;45,91;48,98;55,04;49,68;4,1;73,56;11392,00;
Калужская область;1000604;41,26;44,98;51,9;45,13;3,9;72,35;11117,00;
Камчатский край;311985;52,76;54,62;56,08;58,73;4;70,57;20652,00;
Карачаево-Черкесская Республика;465592;44,15;48,11;55,47;45,49;11,4;76,21;9936,00;
Кемеровская область;2634376;40,90;44,32;50,31;47,61;5;69,78;10339,00;
Кировская область;1251182;43,73;47,09;53,71;48,90;4,4;72,96;10330,00;
Костромская область;628972;42,87;45,54;49,98;47,88;3,9;72,35;10624,00;
Краснодарский край;5689538;44,28;48,47;54,24;45,95;4,8;73,91;10989,00;
