Регион,Население,Медианная зп (руб),92,95,дт,ДТП на 100000 чел,ДТП с погибшими (на 100000 чел),ДТП с ранеными на 100000 чел,Уровень безработицы. %,Преступность(кол-во на 10000 чел),Продолжительность жизни,Прожиточный минимум,Качество_жизни,Индекс привлекательности рабочей силы,Социальная ориентированность бюджетов
Алтайский край,2371227,16769.4,31.89,34.69,35.87,135.20,10.80,171.30,8.60,187.55,70.74,8881.00,37.86,41.952,541.17
Амурская область,803720,22160.7,37.22,39.3,38.68,155.40,12.40,206.90,5.90,231.55,68.28,11541.00,37.12,39.507,258.61
Архангельская область,1169914,24112.7,34.16,37.59,36.91,140.30,13.10,182.00,7.10,176.90,70.8,12217.00,33.99,42.384,303.42
Астраханская область,1018746,17798.3,34.23,37.14,34.78,128.10,11.80,164.40,7.60,136.39,72.2,8845.00,43.24,35.91,299.94
Белгородская область,1551500,22760.1,33.52,36.64,35.21,88.20,13.70,104.70,4.00,88.48,72.87,8153.00,61.82,54.358,994.39
Брянская область,1223135,18937.3,31.96,35.02,33.6,108.00,14.10,132.70,4.60,129.07,70.92,9099.00,42.69,35.612,319.38
Владимирская область,1393383,18208.3,34.27,36.84,35.36,177.70,22.60,234.70,5.60,136.98,70.28,9269.00,45.84,44.298,533.11
Волгоградская область,2540570,17555.1,34.2,37.16,35.25,105.70,13.60,133.60,6.80,152.17,72.49,8991.00,44.8,46.801,1079.30
Вологодская область,1185773,21263.8,35.61,37.97,36.44,134.20,10.30,180.80,6.60,216.59,70.24,10249.00,38.34,45.789,629.82
Воронежская область,2334443,22091.4,33.9,36.42,34.87,132.30,20.90,168.00,4.50,147.29,72.08,8219.00,58.87,53.934,780.19
Еврейская автономная область,165169,19016.5,37.97,39.76,38.77,150.80,14.50,185.30,8.20,206.12,65.88,12626.00,76.54,13.755,7542.48
Забайкальский край,1080998,17608.1,38.19,39.95,38.59,129.00,19.10,172.70,10.80,273.85,68.33,10492.00,76.49,29.393,3083.65
Ивановская область,1026504,18999.3,32.62,34.8,33.38,150.30,10.30,204.00,5.60,139.88,70.77,9525.00,25.81,29.725,25.63
Иркутская область,2410850,17829.5,35.64,38.4,37.7,144.40,15.10,178.80,8.80,194.83,68.2,10038.00,25.95,50.719,27.26
Кабардино-Балкарская Республика,863354,16074.8,34.94,38.49,33.59,76.90,16.10,96.50,10.30,88.96,75.12,10586.00,43.57,22.062,183.99
Калининградская область,981350,20569.4,35.3,37.61,35.87,140.20,17.20,156.80,6.00,135.43,71.92,10067.00,35.2,39.856,186.79
Калужская область,1012171,22675.6,32.2,34.55,33.15,180.60,20.40,239.20,4.20,160.36,71.18,9449.00,31.1,44.141,1072.14
Камчатский край,315422,35315.7,44.01,45.69,45.59,174.70,21.90,231.10,4.10,185.31,68.66,19194.00,55.09,36.521,120.33
Карачаево-Черкесская Республика,467115,14148.4,34.95,38.07,33.65,114.10,18.60,158.80,14.40,75.22,74.72,8806.00,51.84,22.106,516.07
Кемеровская область,2713235,17233,31.7,34.75,35.12,112.60,12.60,151.40,7.90,214.94,68.72,8940.00,45.91,46.143,628.14
Кировская область,1294579,17448.8,33.94,36.35,35.85,125.00,13.30,156.50,5.40,167.63,71.71,9276.00,26.12,40.844,146.28
Костромская область,649804,18804,32.19,34.66,33.86,111.60,7.70,141.60,5.50,134.75,70.87,9260.00,40.66,26.409,86.73
Краснодарский край,5542374,24427.3,34.65,37.88,33.23,115.20,19.30,136.20,5.80,129.69,72.83,9732.00,39.11,56.118,1350.82
Красноярский край,2870895,21292,33.6,37.23,37.37,143.80,15.20,185.40,6.10,199.71,70.01,10992.00,41.74,57.42,332.28
Курганская область,858001,16241.4,31.31,33.72,35.53,125.20,18.30,154.90,8.40,224.54,69.43,9258.00,61.97,28.021,188.02
Курская область,1121456,19934.1,33.11,36.49,33.72,144.10,16.10,192.20,4.30,108.84,70.94,8352.00,44.06,47.375,1837.50
Ленинградская область,1785386,22387,33.74,36.89,34.99,166.10,27.60,212.80,4.60,98.57,71.7,9063.00,28.08,59.201,1812.12
Липецкая область,1156157,21684.4,33.83,36.44,34.89,139.30,18.90,176.00,4.00,106.99,71.62,8414.00,53.51,53.837,180.08
Магаданская область,145958,40001.8,49.66,49.29,49.14,181.60,21.20,240.50,4.40,204.04,69,18043.00,53.77,31.658,451.25
Москва,12355395,45229.2,34.3,37.06,35.25,73.20,4.50,83.60,1.80,141.04,77.08,15206.00,57.41,68.182,1148.50
Московская область,7371058,31517.3,33.51,36.67,34.67,92.60,16.00,111.50,3.30,120.65,72.5,11140.00,44.93,47.095,750.63
Мурманская область,759896,29895.9,35.23,38.08,38.49,111.40,8.00,145.50,7.70,197.61,70.94,13660.00,68.55,41.759,130.21
Ненецкий автономный округ,43888,52607.2,38.64,42.66,42.79,82.10,9.10,84.30,8.50,174.05,71.08,19458.00,43.47,56.589,2942.50
Нижегородская область,3253990,22842.8,33.95,36.89,35.16,163.50,14.50,208.60,4.30,123.42,70.75,8755.00,35.74,38.935,393.13
