Регион,Население,Медианная зп (руб),92,95,98,дт,ДТП на 100000 чел,ДТП с погибшими (на 100000 чел),ДТП с ранеными на 100000 чел,Уровень безработицы. %,Преступность(кол-во на 10000 чел),Продолжительность жизни,Прожиточный минимум,Качество жизни,Индекс привлекательности рабочей силы,Социальная ориентированность бюджетов
Алтайский край,2296773,21700,40.93,43.16,50.22,47.81,207,111,65,5.5,,71.61,10050.00,20.51990994,46.34,41.37
Амурская область,781850,37500,45.28,47.95,53.73,51.74,295,145,71,5.2,,68.66,12235.00,11.90102898,39.96,44.35
Архангельская область,1128099,36400,43.60,47.24,53.28,50.23,222,114,54,6.1,,72.3,14107.00,20.53067501,34.61,40.57
Астраханская область,997685,24800,44.31,48.46,52.57,47.67,222,108,58,7.3,,73.86,10437.00,22.60171719,42.77,46.82
Белгородская область,1543087,26300,44.18,47.44,52.87,47.71,144,73,84,3.9,,74.21,9236.00,36.29255845,64.00,54.69
Брянская область,1183228,22200,43.17,46.60,53.98,46.48,216,73,121,3.4,,72.31,10615.00,25.70502487,43.64,40.29
Владимирская область,1343194,25800,43.53,46.92,52.11,47.81,315,161,72,4.3,,71.87,10485.00,25.06566891,47.34,45.56
Волгоградская область,2476100,25300,43.99,48.36,52.47,47.87,145,104,88,5.6,,74.07,9566.00,20.54650159,45.97,38.89
Вологодская область,1151751,30400,44.23,46.86,50.72,50.52,201,112,65,4.5,,71.82,11091.00,23.52480647,40.22,51.46
Воронежская область,2307100,26100,44.14,48.31,53.62,46.58,216,129,96,4.1,,73.63,9390.00,24.89452387,61.21,46.09
Еврейская автономная область,156492,32700,45.91,47.98,49.19,52.44,298,130,87,6.3,,68.08,15344.38,11.9669649,27.17,46.5
Забайкальский край,1054071,31100,46.68,49.61,52.93,54.01,232,120,110,9.2,,68.88,12473.32,15.23444139,25.91,45.78
Ивановская область,987694,21400,42.55,44.59,50.14,46.04,215,111,47,3.5,,71.84,10345.00,23.56758691,44.30,35.53
Иркутская область,2375640,35600,43.17,45.69,52.35,51.32,265,119,75,7,,69.55,11567.00,17.38612412,36.17,62.48
Кабардино-Балкарская Республика,870197,19000,43.82,47.90,52.67,44.41,149,76,146,11.2,,76.46,12431.00,33.58537244,33.69,37.95
Калининградская область,1019601,29200,45.91,48.98,55.04,49.68,154,90,73,4.1,,73.56,11392.00,23.45258194,57.00,45.72
Калужская область,1000604,31000,41.26,44.98,51.9,45.13,238,124,91,3.9,,72.35,11117.00,18.938638,52.83,51.18
Камчатский край,311985,56700,52.76,54.62,56.08,58.73,180,157,71,4,,70.57,20652.00,18.01611134,46.41,27.9
Карачаево-Черкесская Республика,465592,19100,44.15,48.11,55.47,45.49,284,119,110,11.4,,76.21,9936.00,29.90698869,25.03,42.38
Кемеровская область,2634376,31100,40.90,44.32,50.31,47.61,191,102,85,5,,69.78,10339.00,17.38265414,41.83,52.54
Кировская область,1251182,23300,43.73,47.09,53.71,48.90,280,130,54,4.4,,72.96,10330.00,23.59874762,40.14,39.11
Костромская область,628972,24100,42.87,45.54,49.98,47.88,225,109,44,3.9,,72.35,10624.00,24.50699396,41.32,43.16
Краснодарский край,5689538,27900,44.28,48.47,54.24,45.95,229,115,86,4.8,,73.91,10989.00,24.20956377,62.89,45.64
Красноярский край,2857567,35900,42.58,46.31,53.41,50.18,236,112,72,4.2,,71.16,12689.00,18.83050635,46.15,51.77
Курганская область,819299,22700,40.96,44.45,52.20,47.75,208,120,94,8.7,,71.14,10222.00,17.83760423,28.78,44.11
Курская область,1098361,24100,43.05,46.82,52.73,46.59,268,131,75,4,,72.27,10018.00,26.40798711,54.40,48.34
Ленинградская область,1894038,38100,43.59,46.95,54.7,48.94,283,155,95,3.6,,73.64,11028.00,21.79033835,56.61,64.78
Липецкая область,1128181,26500,43.74,47.43,54.1,47.23,209,124,88,3.7,,73.34,9399.00,28.49517579,59.50,49.39
Магаданская область,138991,65200,56.36,57.59,54.02,61.30,211,151,71,4.6,,69.66,19740.00,15.32763564,45.26,36.48
Москва,12636312,66100,43.35,48.01,54.32,48.01,127,52,39,1.5,,78.36,17679.00,25.0848389,76.92,97.85
Московская область,7713326,41900,42.48,46.83,53.78,47.07,112,62,111,2.6,,73.86,13115.00,31.81842033,70.55,72.03
Мурманская область,733158,44100,45.88,48.87,54.5,53.52,217,108,62,6.1,,71.75,16886.00,20.07277207,45.52,54.08
Ненецкий автономный округ,44404,66800,47.12,51.30,51.27,54.06,176,66,138,8,,73.19,19599.00,21.03458077,37.74,63.3
Нижегородская область,3177816,29400,43.50,46.85,51.76,46.95,257,148,61,4.1,,72.32,10168.00,24.01469077,55.50,49.36
Новгородская область,593232,26600,43.16,46.20,54.6,48.65,296,171,56,4.6,,70.52,10447.00,16.20188447,41.77,43.97
Новосибирская область,2786412,30300,41.36,44.60,51.27,50.40,151,78,88,5.5,,72.25,11475.00,17.32875613,49.11,52.77
Омская область,1904294,26100,41.79,45.16,51.29,49.36,305,133,56,6.9,,72.32,10100.00,26.48641807,42.53,42.5
Оренбургская область,1945307,25800,43.14,46.50,51.94,48.81,139,93,95,4.4,,72.04,9585.00,23.82028017,45.86,44.31
Орловская область,725725,22300,43.75,47.33,53.67,46.71,181,113,96,5.7,,72.56,10215.00,27.64771991,45.49,40.78
Пензенская область,1292211,24500,43.37,46.57,52.88,47.67,251,135,80,4,,73.61,9179.00,34.73218653,49.10,40.97
Пермский край,2580639,29600,43.84,47.03,53.71,50.41,159,95,69,5.3,,71.32,10556.00,21.92817327,45.26,44.64
Приморский край,1879486,36800,45.83,47.96,51.42,51.77,203,142,66,5.1,,70.54,13276.00,17.50687892,44.19,40.89
Псковская область,621028,22500,43.16,46.26,53.33,48.93,213,147,120,5.4,,70.65,11184.00,21.9778462,39.74,40.73
Республика Адыгея,463091,22700,44.97,49.15,55.47,45.69,141,98,112,8.2,,73.85,9368.00,30.57513535,48.35,46.72
Республика Алтай,221050,24700,41.03,43.49,49.9,48.75,323,154,109,12.9,,70.29,10190.00,16.29321147,25.16,42
Республика Башкортостан,4016481,27800,42.85,45.86,51.97,47.82,166,94,88,4.7,,72.64,9992.00,24.62648379,50.53,43.41
Республика Бурятия,986132,29200,44.00,46.48,51.75,51.00,208,108,72,9.4,,70.77,11631.00,15.06672167,31.54,45.87
Республика Дагестан,3132268,19100,44.56,47.17,52.06,44.35,133,54,136,13.5,,79.1,10043.00,63.1123917,35.15,35.67
Республика Ингушетия,515970,19600,43.18,45.77,51.8,46.07,121,58,163,26.3,,83.4,9884.00,66.49954891,19.53,48.51
Республика Калмыкия,270139,21300,43.77,47.92,52.82,46.91,259,184,120,8.6,,74.84,9919.00,32.216935,27.21,54.03
Республика Карелия,609439,32800,44.31,47.32,54.26,50.69,157,102,82,7.4,,71.46,13795.00,15.5922581,35.95,41.91
Республика Коми,813859,39500,44.46,46.73,54.02,49.81,260,138,66,7.8,,71.3,13791.00,16.00383451,38.90,49.9
Республика Марий Эл,1903707,24800,45.58,50.73,56.7,48.61,264,92,107,5.7,,72.71,10509.00,29.08954357,41.95,52.74
Республика Мордовия,676184,22100,42.40,46.29,52.54,46.84,240,108,68,4.1,,72.9,9708.00,29.33044157,39.58,35.78
Республика Саха (Якутия),779573,22000,42.78,46.52,50.85,47.32,235,129,88,4.7,,73.95,9181.00,31.56805021,44.77,40.87
Республика Северная Осетия — Алания,984703,54100,54.60,55.14,56.36,59.75,180,81,86,7.4,,73,18161.00,27.92612234,35.61,32.75
Республика Татарстан,693449,20200,42.58,45.92,52.28,47.23,184,112,87,13.6,,75.75,9414.00,25.5442222,35.51,45.41
Республика Тыва,3894507,29500,42.48,44.65,52.32,50.97,220,98,60,3.2,,75.03,9295.00,24.51811863,65.59,56.94
Республика Хакасия,330327,27600,41.94,44.78,50.86,49.43,632,202,117,11.8,,67.57,10778.00,11.25628706,13.96,41.89
Ростовская область,532266,28500,43.66,46.55,53.49,44.85,156,101,93,8,,71.05,11139.00,16.48852266,43.07,43.94
Рязанская область,4185233,26000,44.15,48.66,54.74,46.47,102,57,128,4.6,,73.69,10351.00,21.41112703,52.91,44.03
Самарская область,1098998,26900,42.65,46.03,55.83,46.65,223,153,78,4.4,,73.2,10123.00,32.87853767,49.36,45.52
Санкт-Петербург,3155390,28600,42.39,46.53,53.22,47.94,203,104,66,3.7,,72.77,10659.00,22.99729606,52.81,48.71
Саратовская область,5388759,49300,43.80,47.39,54.93,49.32,191,85,35,1.5,,76.31,11465.30,27.76680304,75.88,93.43
Сахалинская область,2396961,22600,43.18,46.49,51.40,47.36,222,127,75,4.2,,73.07,9339.00,26.1859924,46.75,43.54
Свердловская область,485627,57100,51.78,54.87,60.09,57.71,211,118,85,5.1,,70.28,15065.00,16.21783997,42.74,106.29
Смоленская область,4291886,31400,42.65,45.78,52.33,49.06,98,66,93,4,,71.81,10811.00,25.7678074,56.80,58.12
Ставропольский край,513149,24100,45.53,50.74,56.99,48.93,281,122,29,3.6,,73.53,11538.00,11.60393017,46.28,55.05
Тамбовская область,921620,23400,43.62,46.91,52.92,46.41,240,99,104,4.9,,71.89,10810.00,7.668663671,51.52,39.01
Тверская область,2794625,22200,44.78,49.24,55.43,47.38,202,96,87,4.6,,74.66,9250.00,68.54106884,46.61,39.67
Томская область,995761,25700,43.75,47.48,53.1,47.43,216,124,86,3.8,,73.56,9879.00,15.36620783,39.46,39.09
